"TIME","Error cuantizacion","Diente de sierra","VDAC"
0.00148069294,0.0924397,2.82688,2.73437
0.001481220591,0.0934096,2.82785,2.73437
0.001481756617,0.0943949,2.82884,2.73437
0.001489260987,0.108186,2.84262,2.73437
0.001514990254,0.155431,2.88988,2.73437
0.001531410001,0.18555,2.92,2.73437
0.001531412001,0.107429,2.92,2.8125
0.001531442313,0.107485,2.92006,2.8125
0.001531479131,0.107552,2.92012,2.8125
0.001531856475,0.108244,2.92082,2.8125
0.001532245991,0.108958,2.92153,2.8125
0.001543931466,0.130377,2.94293,2.8125
0.001581324989,0.198831,3.0114,2.8125
0.001582191251,0.200415,3.01299,2.8125
0.001582193251,0.102763,3.01299,2.91015
0.001582216498,0.102805,3.01304,2.91015
0.00158225592,0.102877,3.01311,2.91015
0.001582844042,0.103953,3.01418,2.91015
0.001583441499,0.105046,3.01528,2.91015
0.001591805903,0.120339,3.03056,2.91015
0.001620483858,0.172722,3.08295,2.91015
0.001632972501,0.195511,3.10574,2.91015
0.001632974501,0.0978586,3.10575,3.00781
0.001632996624,0.097899,3.10579,3.00781
0.001633036944,0.0979725,3.10586,3.00781
0.001633596633,0.0989935,3.10688,3.00781
0.001634165205,0.100031,3.10792,3.00781
0.001642125222,0.114547,3.12243,3.00781
0.001669416707,0.164274,3.17216,3.00781
0.001683753751,0.190369,3.19826,3.00781
0.001683755751,0.0927169,3.19826,3.10546
0.001683776697,0.092755,3.1983,3.10546
0.001683817958,0.0928301,3.19838,3.10546
0.001684347874,0.0937942,3.19934,3.10546
0.001684886202,0.0947736,3.20032,3.10546
0.00169242279,0.108483,3.21402,3.10546
0.00171826252,0.155447,3.261,3.10546
0.001734535001,0.18499,3.29054,3.10546
0.001734537001,0.106869,3.29054,3.18359
0.001734567153,0.106924,3.2906,3.18359
0.001734604083,0.106991,3.29067,3.18359
0.001734979433,0.107672,3.29135,3.18359
0.00173536689,0.108376,3.29205,3.18359
0.001746990617,0.129463,3.31312,3.18359
0.001784186542,0.196862,3.38054,3.18359
0.001785316251,0.198907,3.38258,3.18359
0.001785318251,0.101255,3.38259,3.28125
0.001785341152,0.101296,3.38263,3.28125
0.00178538085,0.101368,3.3827,3.28125
0.001785960224,0.102417,3.38375,3.28125
0.001786548794,0.103482,3.38481,3.28125
0.001794788775,0.118394,3.39972,3.28125
0.00182304014,0.169473,3.45081,3.28125
0.001836097501,0.193056,3.47439,3.28125
0.001836099501,0.095404,3.4744,3.3789
0.001836121062,0.095443,3.47443,3.3789
0.001836161831,0.0955166,3.47451,3.3789
0.001836707302,0.0965014,3.47549,3.3789
0.001837261431,0.0975019,3.47649,3.3789
0.001845019241,0.111505,3.49049,3.3789
0.001871617445,0.159476,3.53847,3.3789
0.001886878751,0.186971,3.56596,3.3789
0.001886880751,0.10885,3.56597,3.45703
0.00188691147,0.108905,3.56602,3.45703
0.001886948004,0.108971,3.56609,3.45703
0.00188733041,0.109659,3.56678,3.45703
0.001887725152,0.11037,3.56749,3.45703
0.001899567415,0.13169,3.58879,3.45703
0.001937462656,0.199827,3.65695,3.45703
0.001937660001,0.200182,3.6573,3.45703
0.001937662001,0.10253,3.65731,3.55468
0.001937685195,0.102571,3.65735,3.55468
0.001937724659,0.102642,3.65742,3.55468
0.001938311427,0.103696,3.65847,3.55468
0.00193890751,0.104767,3.65954,3.55468
0.001947252661,0.119753,3.67452,3.55468
0.00197586461,0.171087,3.72587,3.55468
0.001988441251,0.193628,3.74841,3.55468
0.001988443251,0.0959756,3.74841,3.65234
0.001988464943,0.0960144,3.74845,3.65234
0.001988505607,0.0960873,3.74852,3.65234
0.001989054388,0.0970705,3.74951,3.65234
0.00198961188,0.0980694,3.7505,3.65234
0.001997416763,0.11205,3.76448,3.65234
0.002024176361,0.159941,3.81238,3.65234
0.002039222501,0.186841,3.83928,3.65234
0.002039224501,0.10872,3.83928,3.73046
0.002039255183,0.108774,3.83934,3.73046
0.002039291743,0.10884,3.8394,3.73046
0.002039673685,0.109522,3.84008,3.73046
0.002040067949,0.110227,3.84079,3.73046
0.002051895854,0.131358,3.8619,3.73046
0.002089745152,0.198891,3.92946,3.73046
0.002090003751,0.199352,3.92992,3.73046
0.002090005751,0.1017,3.92992,3.82812
0.002090028754,0.101741,3.92996,3.82812
0.002090068371,0.101811,3.93003,3.82812
0.002090650326,0.102849,3.93107,3.82812
0.002091241518,0.103902,3.93212,3.82812
0.002099518208,0.118652,3.94686,3.82812
0.002127895434,0.169175,3.9974,3.82812
0.002140785001,0.1921,4.02032,3.82812
0.002140787001,0.0944476,4.02033,3.92578
0.002140808343,0.0944856,4.02036,3.92578
0.002140849287,0.0945584,4.02044,3.92578
0.002141389221,0.0955184,4.0214,3.92578
0.002141937725,0.0964935,4.02237,3.92578
0.002149616782,0.110143,4.03601,3.92578
0.002175944978,0.156902,4.08278,3.92578
0.002191566251,0.184616,4.1105,3.92578
0.002191568251,0.106495,4.1105,4.0039
0.002191598296,0.106549,4.11056,4.0039
0.002191635301,0.106614,4.11062,4.0039
0.002192009317,0.107278,4.11128,4.0039
0.002192395399,0.107962,4.11197,4.0039
0.00220397785,0.128496,4.13248,4.0039
0.002241041692,0.194123,4.19813,4.0039
0.002242347501,0.196433,4.20044,4.0039
0.002242349501,0.0987809,4.20045,4.10156
0.002242371835,0.0988204,4.20049,4.10156
0.002242411986,0.0988914,4.20056,4.10156
0.00224297702,0.0998909,4.20156,4.10156
0.002243551022,0.100906,4.20257,4.10156
0.002251587051,0.115117,4.21677,4.10156
0.002279139151,0.163797,4.26546,4.10156
0.002293128751,0.188489,4.29016,4.10156
0.002293130751,0.110367,4.29016,4.17968
0.002293161904,0.110422,4.29021,4.17968
0.002293198135,0.110486,4.29028,4.17968
0.002293585953,0.11117,4.29096,4.17968
0.002293986281,0.111877,4.29167,4.17968
0.002305996124,0.133059,4.31285,4.17968
0.002318806624,0.155639,4.33543,4.17968
0.002343910001,0.199845,4.37964,4.17968
0.002343912001,0.102193,4.37964,4.27734
0.002343935117,0.102234,4.37968,4.27734
0.002343974643,0.102303,4.37975,4.27734
0.002344559459,0.103332,4.38078,4.27734
0.002345153558,0.104378,4.38183,4.27734
0.002353470939,0.119011,4.39645,4.27734
0.002381987675,0.169135,4.44659,4.27734
0.002394691251,0.191442,4.46889,4.27734
0.002394693251,0.0937893,4.4689,4.37499
0.002394714443,0.0938265,4.46894,4.37499
0.002394755507,0.0938986,4.46901,4.37499
0.00239529163,0.0948396,4.46995,4.37499
0.002395836262,0.0957956,4.4709,4.37499
0.002403461121,0.109176,4.48428,4.37499
0.002429603491,0.155014,4.53012,4.37499
0.002445472501,0.182809,4.55792,4.37499
0.002445474501,0.104688,4.55792,4.45312
0.002445504029,0.10474,4.55798,4.45312
0.002445541395,0.104805,4.55804,4.45312
0.002445908975,0.105449,4.55869,4.45312
0.002446288413,0.106113,4.55935,4.45312
0.002457671548,0.126037,4.57926,4.45312
0.002494097581,0.189715,4.64295,4.45312
0.002496253751,0.19348,4.64672,4.45312
0.002496255751,0.0958281,4.64672,4.55078
0.002496277409,0.0958659,4.64676,4.55078
0.002496318101,0.095937,4.64683,4.55078
0.002496866027,0.0968938,4.64779,4.55078
0.002497422651,0.0978659,4.64876,4.55078
0.002505215387,0.111471,4.66236,4.55078
0.00253193334,0.158078,4.70897,4.55078
0.002547035001,0.184393,4.73529,4.55078
0.002547037001,0.106272,4.73529,4.6289
0.002547066982,0.106324,4.73535,4.6289
0.002547104032,0.106388,4.73541,4.6289
0.002547477251,0.107039,4.73606,4.6289
0.002547862511,0.10771,4.73673,4.6289
0.002559420291,0.127835,4.75684,4.6289
0.002596405187,0.192158,4.82118,4.6289
0.002597816251,0.19461,4.82363,4.6289
0.002597818251,0.0969573,4.82364,4.72656
0.002597840168,0.0969954,4.82368,4.72656
0.002597880653,0.0970657,4.82375,4.72656
0.002598435119,0.098029,4.82471,4.72656
0.002598998387,0.0990076,4.82569,4.72656
0.002606884139,0.112705,4.83938,4.72656
0.002633921003,0.159626,4.88631,4.72656
0.002648597501,0.185069,4.91175,4.72656
0.002648599501,0.106948,4.91176,4.80468
0.002648629675,0.107,4.91181,4.80468
0.00264866659,0.107064,4.91187,4.80468
0.002649042218,0.107715,4.91252,4.80468
0.002649429964,0.108387,4.91319,4.80468
0.002661062336,0.128539,4.93333,4.80468
0.002698285925,0.192945,4.99775,4.80468
0.002699378751,0.194834,4.99964,4.80468
0.002699380751,0.0971814,4.99965,4.90234
0.002699402719,0.0972194,4.99968,4.90234
0.002699443163,0.0972893,4.99975,4.90234
0.002699998928,0.0982499,5.00072,4.90234
0.002700563515,0.0992258,5.00169,4.90234
0.002708467734,0.112885,5.01534,4.90234
0.002726025051,0.143206,5.04567,4.90234
0.002726030089,0.143215,5.04541,4.90234
0.002726038164,0.142533,5.045,4.90234
0.002726054314,0.139503,5.04197,4.90234
0.002726083053,0.127559,5.03003,4.90234
0.00272609009,0.123339,5.02551,4.90234
0.002726095608,0.11951,5.02198,4.90234
0.002726106643,0.111084,5.01355,4.90234
0.002726127635,0.091695,4.99416,4.90234
0.002726152987,0.0662165,4.96835,4.90234
0.002726176595,0.0418602,4.94432,4.90234
0.002726219171,-0.00217137,4.90052,4.90234
0.002726294879,-0.0798237,4.82264,4.90234
0.002726446294,-0.231871,4.67059,4.90234
0.002726707092,-0.483428,4.41902,4.90234
0.002726833667,-0.600886,4.30156,4.90234
0.002726919944,-0.679252,4.22319,4.90234
0.002726975258,-0.728783,4.17389,4.90234
0.002727022007,-0.770217,4.13222,4.90234
0.002727070224,-0.812548,4.09008,4.90234
0.002727115564,-0.851982,4.05046,4.90234
0.002727165285,-0.894817,4.00787,4.90234
0.002727224357,-0.945158,3.95728,4.90234
0.002727315193,-1.02142,3.88101,4.90234
0.002727460418,-1.14051,3.76192,4.90234
0.002727609787,-1.25945,3.64297,4.90234
0.002727846882,-1.44113,3.46128,4.90234
0.002728227555,-1.71558,3.18682,4.90234
0.002728988902,-2.20681,2.69556,4.90234
0.002730511594,-2.99845,1.90387,4.90234
0.002733081519,-3.91364,0.988626,4.90234
0.002736044856,-4.53181,0.37042,4.90234
0.002736380738,-4.57516,0.327077,4.90234
0.002737052502,-4.65235,0.249879,4.90234
0.002737485924,-4.69647,0.205751,4.90234
0.002737595551,-4.70668,0.19525,4.90234
0.002737814805,-4.7271,0.174943,4.90234
0.00273787088,-4.73233,0.169895,4.90234
0.002737990354,-4.74278,0.159327,4.90234
0.002738042874,-4.74738,0.154761,4.90234
0.002738065565,-4.74936,0.152806,4.90234
0.002738076643,-4.75033,0.151851,4.90234
0.002738098799,-4.75227,0.149961,4.90234
0.002738143111,-4.75594,0.14618,4.90234
0.002738231735,-4.76329,0.138735,4.90234
0.002738408983,-4.77799,0.124231,4.90234
0.002738763479,-4.80551,0.0967069,4.90234
0.002739472471,-4.85492,0.0470675,4.90234
0.002739517109,-4.85803,0.0441809,4.90234
0.002739612279,-4.86401,0.0381133,4.90234
0.002739624067,-4.86475,0.0373717,4.90234
0.002739647643,-4.86623,0.0358884,4.90234
0.002739701316,-4.8696,0.0325416,4.90234
0.002739711316,-4.87023,0.0319863,4.90234
0.002739731316,-4.87092,0.0310308,4.90234
0.002739761317,-4.87197,0.0300542,4.90234
0.002739765317,-4.87211,0.0299707,4.90234
0.002739773317,-4.87239,0.0298281,4.90234
0.002739789317,-4.87242,0.02966,4.90234
0.002739821317,-4.8725,0.0295635,4.90234
0.002739885317,-4.87265,0.0295623,4.90234
0.002739999838,-4.87243,0.0296996,4.90234
0.002740228881,-4.87199,0.0300814,4.90234
0.002740686966,-4.87111,0.0309309,4.90234
0.002741603137,-4.86934,0.0326986,4.90234
0.002743435478,-4.86581,0.0362886,4.90234
0.002745224475,-4.86236,0.0398254,4.90234
0.002745820246,-4.86121,0.0410043,4.90234
0.002748326553,-4.85625,0.0459637,4.90234
0.002750160001,-4.85262,0.0495913,4.90234
0.002750162001,-4.93074,0.0495952,4.98046
0.002750229602,-4.93061,0.049729,4.98046
0.002750319202,-4.93043,0.0499063,4.98046
0.002750626402,-4.92982,0.050514,4.98046
0.002751036002,-4.92901,0.0513244,4.98046
0.002756770402,-4.91768,0.0626675,4.98046
0.002776431202,-4.87881,0.101533,4.98046
0.002800941251,-4.83041,0.149931,4.98046
0.002800943251,0.0913024,0.149935,0.0585937
0.002800946882,0.0913111,0.149942,0.0585937
0.002800950373,0.0913344,0.149949,0.0585937
0.002800953647,0.0913753,0.149955,0.0585937
0.002800954547,0.0913679,0.149957,0.0585937
0.002800955369,0.0913611,0.149959,0.0585937
0.002801004314,0.0914577,0.150055,0.0585937
0.002801047188,0.0915423,0.15014,0.0585937
0.00280139018,0.0922191,0.150817,0.0585937
0.002801782171,0.0929926,0.15159,0.0585937
0.002813541896,0.116191,0.174789,0.0585937
0.002826085602,0.14092,0.199504,0.0585937
0.002851173015,0.190332,0.248932,0.0585937
0.002851722501,0.191413,0.250014,0.0585937
0.002851724501,0.0937614,0.250018,0.15625
0.002851745686,0.0938031,0.25006,0.15625
0.002851786756,0.093884,0.25014,0.15625
0.002852322717,0.0949389,0.251195,0.15625
0.002852867186,0.0960105,0.252267,0.15625
0.00286048975,0.11101,0.267264,0.15625
0.002869201251,0.128138,0.284403,0.15625
0.002886624253,0.162394,0.318652,0.15625
0.002902503751,0.193581,0.349841,0.15625
